Price,Close,High,Low,Open,Volume,Ticker,SMA_5,SMA_10,EMA_5,EMA_10,RSI,MACD,Signal_Line,MA20,20DaySTD,Upper_Band,Lower_Band,Momentum
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2020-06-15,9.144246101379395,9.15271886327654,8.715628726053437,8.786899549623122,400004000,NVDA,9.033901786804199,8.910597801208496,8.999459802247413,8.939904560454302,,0.06351457209034983,0.03494938468962425,,,,,0.36756134033203125
2020-06-16,9.039334297180176,9.236947471992163,8.81032351724379,9.195331790102433,535716000,NVDA,9.038387489318847,8.935245800018311,9.012751300558335,8.95798269440446,,0.06808764409545276,0.041577036570789955,,,,,0.022428512573242188
2020-06-17,9.206297874450684,9.269094998061806,9.041080410359548,9.084441415451856,408304000,NVDA,9.012321853637696,8.982144737243653,9.077266825189119,9.003130908958319,,0.08421363950455785,0.050104357157543536,,,,,-0.13032817840576172
2020-06-18,9.188353538513184,9.252645949536891,9.085186049512535,9.19732441785952,254408000,NVDA,9.096400451660156,9.027149200439453,9.114295729630474,9.036807750695568,59.692826909413235,0.0944568097986771,0.05897484768577026,,,,,0.4203929901123047
2020-06-19,9.231465339660645,9.414624551280685,9.19757523890359,9.21277640019517,524160000,NVDA,9.161939430236817,9.061164474487304,9.153352266307198,9.072200039598307,60.48960279893028,0.10484477282949278,0.06814883271451477,,,,,0.3276948928833008
2020-06-22,9.496112823486328,9.500598739919562,9.243428061718252,9.270092599957753,398468000,NVDA,9.232312774658203,9.1331072807312,9.267605785366909,9.14927509121431,64.49032153938603,0.13290015826902568,0.08109909782541697,,,,,0.3518667221069336
2020-06-23,9.419607162475586,9.611488167064309,9.377244305276504,9.520282163699129,375108000,NVDA,9.308367347717285,9.173377418518067,9.318272911069801,9.198426376898178,63.938065129116694,0.14726332594564795,0.09433194344946316,,,,,0.38027286529541016
2020-06-24,9.205799102783203,9.525766870379229,9.115091202286816,9.445774215524738,449372000,NVDA,9.308267593383789,9.160294723510741,9.280781641640935,9.199766872513637,58.78603362419492,0.13978239185989771,0.10342203313155007,,,,,-0.0004987716674804688
2020-06-25,9.459480285644531,9.474432388422377,9.152720249131848,9.325662340438853,376072000,NVDA,9.362492942810059,9.229446697235108,9.340347856308801,9.246987493082889,60.28881424483748,0.15256497499122723,0.11325062150348551,,,,,0.27112674713134766
2020-06-26,9.125557899475098,9.469448669975863,9.095654643529448,9.469448669975863,592084000,NVDA,9.34131145477295,9.251625442504883,9.2687512040309,9.224909385154199,55.85281281814578,0.13420350390406632,0.11744119798360168,9.062595462799072,0.25515092254838845,9.572897307895849,8.552293617702295,-0.10590744018554688
2020-06-29,9.17041301727295,9.174898933320014,8.87137761386688,9.140260702990933,342248000,NVDA,9.276171493530274,9.254242134094238,9.235971808444917,9.215000954630334,52.75594215492131,0.121866537333565,0.11832626585359435,9.082419967651367,0.24680809086728656,9.57603614938594,8.588803785916793,-0.3256998062133789
2020-06-30,9.467206954956055,9.495614907817108,9.236700810075622,9.284047715046524,367892000,NVDA,9.285691452026366,9.297029399871827,9.313050190615296,9.26085659105319,52.36380056097351,0.13448790000850686,0.12155859268457686,9.116137599945068,0.25119143685748224,9.618520473660032,8.613754726230104,0.04759979248046875
2020-07-01,9.49935245513916,9.54495594489981,9.382729085028771,9.49013251377238,326648000,NVDA,9.34440212249756,9.326334857940674,9.375150945456586,9.304219475432458,66.43151645186117,0.14540811978258716,0.12632849810417893,9.154239797592163,0.24848511675119606,9.651210031094555,8.657269564089772,0.29355335235595703
2020-07-02,9.581335067749023,9.706182097370768,9.547444024301976,9.607998645602894,364056000,NVDA,9.368773078918457,9.365633010864258,9.443878986220732,9.354604128580924,65.59951410727155,0.15884669844873578,0.1328321381730903,9.196391105651855,0.24570301070697162,9.6877971270658,8.704985084237912,0.12185478210449219
2020-07-06,9.807605743408203,9.876882195050138,9.681263389843593,9.710419463836537,315892000,NVDA,9.505182647705078,9.423247051239013,9.565121238616555,9.43696805854952,65.3730259584317,0.18561536300102333,0.14338878313867692,9.24220576286316,0.27004485026409314,9.782295463391346,8.702116062334973,0.6820478439331055
2020-07-07,9.84000015258789,10.03761235433685,9.819067784478827,9.914260627806415,357800000,NVDA,9.639100074768066,9.45763578414917,9.656747543273667,9.510246621101949,69.20037373418552,0.2070568580349441,0.15612239811793038,9.295371532440186,0.27812119188067363,9.851613916201533,8.739129148678838,0.6695871353149414
